﻿items.armor.curses.antientropy.name,%s of anti-entropy,反熵%s
items.weapon.melee.assassinsblade.ability_name,sneak,潜行
items.weapon.melee.assassinsblade.typical_ability_desc,The Duelist can _sneak_ while wielding an assassin's blade. This ability lets the Duelist instantly blink up to 3 tiles away and typically grants her _%d turns of invisibility._,决斗家握持暗杀之刃时可以_潜行_。这个武技能够使决斗家立即闪现最多3格远，并一般会给予_%d回合隐形_。
items.weapon.melee.assassinsblade.ability_desc,The Duelist can _sneak_ while wielding an assassin's blade. This ability lets the Duelist instantly blink up to 3 tiles away and grants her _%d turns of invisibility._,决斗家握持暗杀之刃时可以_潜行_。这个武技能够使决斗家立即闪现最多3格远，并给予_%d回合隐形_。
items.weapon.melee.assassinsblade.upgrade_ability_stat_name,Ability Duration,武技持续时间
items.weapon.melee.assassinsblade.desc,"A small wavy blade made of obsidian, difficult to use despite being lightweight, but deadly if it finds the right mark.",黑曜石制的波浪形短刃，虽轻便但不易用，如果能击中要害足以致命。
items.weapon.melee.battleaxe.name,battle axe,战斧
items.weapon.melee.battleaxe.stats_desc,This is a rather accurate weapon.,这是一件比较精准的武器。
items.weapon.melee.battleaxe.ability_name,heavy blow,重击
items.weapon.melee.battleaxe.typical_ability_desc,"The Duelist can perform a _heavy blow_ with a battle axe. This concentrated attack typically deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用战斧使出_重击_。这用尽全力的一击如果是在伏击敌人，则一般会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.battleaxe.ability_desc,"The Duelist can perform a _heavy blow_ with a battle axe. This concentrated attack deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用战斧使出_重击_。这用尽全力的一击如果是在伏击敌人，则会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.battleaxe.desc,The enormous steel head of this battle axe puts considerable heft behind each wide stroke.,这把有着硕大钢制头部的战斧能将庞大的力量倾注在每次挥舞之中。
items.weapon.melee.crossbow.name,crossbow,十字弩
items.weapon.melee.crossbow.stats_desc,"This weapon enhances the damage of thrown darts when equipped, and will even grant its enchantment to them.",这件武器装备时会大幅提升飞镖伤害，甚至能赋予飞镖自身附魔。
items.weapon.melee.crossbow.ability_name,charged shot,充能射击
items.weapon.melee.crossbow.typical_ability_desc,"The Duelist can _charge_ her crossbow, causing her next regular attack with it to always hit and apply one of three effects: melee attacks will knock enemies away, untipped darts will typically deal _+%1$d damage_, and tipped darts will apply their effect in a 7x7 area and typically last for _%2$d more uses_.",决斗家可以为十字弩_蓄势_。这个武技能使下一次攻击必定命中，并将视情况触发以下三种效果之一：近战攻击将会击退敌人；未涂药飞镖一般会造成_%1$d点额外伤害_，而涂药飞镖将会在7x7的范围内触发效果，还一般会增加_%2$d次可用次数_。
items.weapon.melee.crossbow.ability_desc,"The Duelist can _charge_ her crossbow, causing her next regular attack with it to always hit and apply one of three effects: melee attacks will knock enemies away, untipped darts will deal _+%1$d damage_, and tipped darts will apply their effect in a 7x7 area and last for _%2$d more uses_.",决斗家可以为十字弩_蓄势_。这个武技能使下一次攻击必定命中，并将视情况触发以下三种效果之一：近战攻击将会击退敌人；未涂药飞镖将会造成_%1$d点额外伤害_，而涂药飞镖将会在7x7的范围内触发效果，还会增加_%2$d次可用次数_。
items.weapon.melee.crossbow.desc,"A fairly intricate weapon which shoots bolts at exceptional speeds. While it isn't designed for it, this crossbow's heft and sturdy construction make it a decent melee weapon as well.",这是一件看起来相当精密复杂的装置，能够将飞镖一样的小型箭矢以极高的速度射出。这把十字弩弩掂在手里沉甸甸的，比想象中结实很多，虽然完全违背了设计初衷，不过也能够在肉搏战中起到作用。
items.weapon.melee.crossbow.upgrade_ability_stat_name,Ability Boost,武技加成
items.weapon.melee.crossbow$chargedshot.name,charged,蓄势待发
items.weapon.melee.crossbow$chargedshot.desc,"The Duelist is focusing power into her crossbow. The next attack she makes with it will always hit and apply one of three effects:\n- Melee attacks will knock enemies a few tiles away.\n- Untipped darts will deal bonus damage.\n- Tipped darts will gain extra uses and apply their effect in a 7x7 area. Positive dart effects will only affect allies, and harmful effects will only apply to enemies. The Duelist cannot use this ability to apply positive dart effects to herself.","决斗家正将能量集中于她的十字弩。这个武技能使她的下一次攻击必定命中，并将视情况触发以下三种效果之一：\n-近战攻击将会击退敌人数格。\n-未涂药飞镖将会造成额外伤害。\n-涂药飞镖将会增加可用次数，在7x7的范围内触发效果。正面效果只对盟友生效，负面效果也只对敌人生效。决斗家不能使用此武技使正面飞镖效果对她自己生效。"
items.weapon.melee.cudgel.name,cudgel,权杖
items.weapon.melee.cudgel.stats_desc,This is a rather accurate weapon.,这是一件比较精准的武器。
items.weapon.melee.cudgel.ability_name,heavy blow,重击
items.weapon.melee.cudgel.typical_ability_desc,"The Duelist can perform a _heavy blow_ with a cudgel. This concentrated attack typically deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用权杖使出_重击_。这用尽全力的一击如果是在伏击敌人，则一般会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.cudgel.ability_desc,"The Duelist can perform a _heavy blow_ with a cudgel. This concentrated attack deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用权杖使出_重击_。这用尽全力的一击如果是在伏击敌人，则会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.cudgel.desc,"A small brass mace, made more as a self-defense tool for nobles than as an adventuring weapon.",一把小型黄铜锤，更多的作为贵族们的自卫工具而非冒险用武器使用。
items.weapon.melee.dagger.name,dagger,匕首
items.weapon.melee.dagger.stats_desc,This weapon is stronger against unaware enemies.,这件武器对未察觉你的敌人更有效。
items.weapon.melee.dagger.ability_name,sneak,潜行
items.weapon.melee.dagger.typical_ability_desc,The Duelist can _sneak_ while wielding a dagger. This ability lets the Duelist instantly blink up to 5 tiles away and typically grants her _%d turns of invisibility._,决斗家握持匕首时可以_潜行_。这个武技能够使决斗家立即闪现最多5格远，并一般给予_%d回合隐形_。
items.weapon.melee.dagger.ability_desc,The Duelist can _sneak_ while wielding a dagger. This ability lets the Duelist instantly blink up to 5 tiles away and grants her _%d turns of invisibility._,决斗家握持匕首时可以_潜行_。这个武技能够使决斗家立即闪现最多5格远，并给予_%d回合隐形_。
items.weapon.melee.dagger.upgrade_ability_stat_name,Ability Duration,武技持续时间
items.weapon.melee.dagger.desc,A simple iron dagger with a worn wooden handle.,木柄被磨损的简易铁质匕首。
items.weapon.melee.dirk.name,dirk,长匕首
items.weapon.melee.dirk.stats_desc,This weapon is stronger against unaware enemies.,这件武器对未察觉你的敌人更有效。
items.weapon.melee.dirk.ability_name,sneak,潜行
items.weapon.melee.dirk.typical_ability_desc,The Duelist can _sneak_ while wielding a dirk. This ability lets the Duelist instantly blink up to 4 tiles away and typically grants her _%d turns of invisibility._,决斗家握持长匕首时可以_潜行_。这个武技能够使决斗家立即闪现最多4格远，并一般给予_%d回合隐形_。
items.weapon.melee.dirk.ability_desc,The Duelist can _sneak_ while wielding a dirk. This ability lets the Duelist instantly blink up to 4 tiles away and grants her _%d turns of invisibility._,决斗家握持长匕首时可以_潜行_。这个武技能够使决斗家立即闪现最多4格远，并给予_%d回合隐形_。
items.weapon.melee.dirk.upgrade_ability_stat_name,Ability Duration,武技持续时间
items.weapon.melee.dirk.desc,"A longer thrusting dagger, gives a bit more steel to plunge into foes.",一个长一些的刺击型匕首，可以往敌人身体里捅得更深一点。
items.weapon.melee.flail.name,flail,链枷
items.weapon.melee.flail.stats_desc,"This is a rather inaccurate weapon.\nThis weapon cannot surprise attack.","这是一件不太精准的武器。\n这件武器不能用来伏击。"
items.weapon.melee.flail.ability_name,spin,甩动
items.weapon.melee.flail.spin_warn,You can't spin the flail any more.,你不能再继续甩动链枷了。
items.weapon.melee.flail.typical_ability_desc,"The Duelist can _spin_ a flail to build up power for a short time. Each turn the flail is spun it will typically deal _+%d damage_ on its next regular attack, to a max of 3 times. A spinning flail is also guaranteed to hit. Only starting to spin the flail costs a charge.",决斗家可以_甩动_链枷以在短时间内积蓄力量。每甩动一次，链枷一般就会造成_%d点额外伤害_，最多3次。甩动的链枷必定命中。只有开始甩动链枷消耗1点充能。
items.weapon.melee.flail.ability_desc,"The Duelist can _spin_ a flail to build up power for a short time. Each turn the flail is spun it will deal _+%d damage_ on its next regular attack, to a max of 3 times. A spinning flail is also guaranteed to hit. Only starting to spin the flail costs a charge.",决斗家可以_甩动_链枷以在短时间内积蓄力量。每甩动一次，链枷就会造成_%d点额外伤害_，最多3次。甩动的链枷必定命中。只有开始甩动链枷消耗1点充能。
items.weapon.melee.flail.desc,"A spiked ball attached to a handle by a length of chain. Very unwieldy, but devastating if it lands a solid hit.",铁链上附着的一个带刺的钢球。笨重难用，能命中的话威力极强。
items.weapon.melee.flail$spinabilitytracker.name,spinning,蓄势
items.weapon.melee.flail$spinabilitytracker.desc,"The Duelist is spinning her flail, building damage for her next regular attack with it. Each spin takes one turn but increases damage, to a max of three spins. The flail is also guaranteed to hit while spinning.\n\nCurrent spins: %1$d%%.\nTurns remaining: %2$s.","决斗家正在甩动链枷，为下一击积蓄力量。每次甩动消耗一回合但会增加伤害，最多甩动三次。只要在甩动中，链枷的攻击就必定命中。\n\n当前甩动次数：%1$d%%。\n剩余回合数：%2$s。"
items.weapon.melee.gauntlet.name,stone gauntlet,魔岩拳套
items.weapon.melee.gauntlet.stats_desc,This is a very fast weapon.,这是一件非常快的武器。
items.weapon.melee.gauntlet.ability_name,combo strike,连击
items.weapon.melee.gauntlet.typical_ability_desc,The Duelist can perform a _combo strike_ with a stone gauntlet. This attack is guaranteed to hit and typically deals _+%d damage_ for each time the Duelist has hit with a regular melee or thrown weapon attack in the last 5 turns.,决斗家可以使用魔岩拳套进行_连击_。这次攻击必定命中，并且决斗家在最近5回合当中每使用近战或者投掷武器成功命中一次，这次攻击的伤害一般就_增加%d点_。
items.weapon.melee.gauntlet.ability_desc,The Duelist can perform a _combo strike_ with a stone gauntlet. This attack is guaranteed to hit and deals _+%d damage_ for each time the Duelist has hit with a regular melee or thrown weapon attack in the last 5 turns.,决斗家可以使用魔岩拳套进行_连击_。这次攻击必定命中，并且决斗家在最近5回合当中每使用近战或者投掷武器成功命中一次，这次攻击的伤害就_增加%d点_。
items.weapon.melee.gauntlet.desc,"This massive gauntlet is made of crimson fabric with heavy magical stone layered on top. The fabric tightens around you, making the thick stone plates almost like a second skin. Swinging such a heavy weapon requires strength, but adds tremendous force to your blows.",这个巨大的拳套由一匹红布和层层覆盖在布上的魔法岩石交织而成。戴上后，布料紧紧裹住你的整个前臂，让厚重的岩板变得像一层坚硬的皮肤。要有足够的力量才能将如此沉重的武器自如挥舞，但正是这种力量和重量的结合让这件武器发挥出可怕的威力。
items.weapon.melee.glaive.name,glaive,关刀
items.weapon.melee.glaive.stats_desc,"This is a rather slow weapon.\nThis weapon has extra reach.","这是一件相当慢的武器。\n这件武器有额外的攻击距离。"
items.weapon.melee.glaive.ability_name,spike,刺退
items.weapon.melee.glaive.typical_ability_desc,"The Duelist can use the tip of a glaive to _spike_ an enemy that is in range but not adjacent. This typically deals _%1$d-%2$d damage_, knocks the enemy back, and is guaranteed to hit.",决斗家用关刀刀尖_刺退_在射程内但不与决斗家相邻的敌人，一般造成_%1$d~%2$d点伤害_，将敌人击退且必定命中。
items.weapon.melee.glaive.ability_desc,"The Duelist can use the tip of a glaive to _spike_ an enemy that is in range but not adjacent. This deals _%1$d-%2$d damage_, knocks the enemy back, and is guaranteed to hit.",决斗家用关刀刀尖_刺退_在射程内但不与决斗家相邻的敌人，造成_%1$d~%2$d点伤害_，将敌人击退且必定命中。
items.weapon.melee.glaive.desc,A massive polearm consisting of a sword blade on the end of a pole.,一支在末端装有剑刃的重型长柄武器。
items.weapon.melee.gloves.name,studded gloves,镶钉手套
items.weapon.melee.gloves.stats_desc,This is a very fast weapon.,这是一件非常快的武器。
items.weapon.melee.gloves.ability_name,combo strike,连击
items.weapon.melee.gloves.typical_ability_desc,The Duelist can perform a _combo strike_ with studded gloves. This attack is guaranteed to hit and typically deals _+%d damage_ for each time the Duelist has hit with a regular melee or thrown weapon attack in the last 5 turns.,决斗家可以使用镶钉手套进行_连击_。这次攻击必定命中，并且决斗家在最近5回合当中每使用近战或者投掷武器成功命中一次，这次攻击的伤害一般就_增加%d点_。
items.weapon.melee.gloves.ability_desc,The Duelist can perform a _combo strike_ with studded gloves. This attack is guaranteed to hit and deals _+%d damage_ for each time the Duelist has hit with a regular melee or thrown weapon attack in the last 5 turns.,决斗家可以使用镶钉手套进行_连击_。这次攻击必定命中，并且决斗家在最近5回合当中每使用近战或者投掷武器成功命中一次，这次攻击的伤害就_增加%d点_。
items.weapon.melee.gloves.desc,"These studded gloves don't provide any real protection, but they act as a serviceable weapon while keeping the hands free.",这双镶钉手套没有多少防护作用，但能在勉强当作武器使用的同时腾出双手。
items.weapon.melee.greataxe.name,greataxe,巨斧
items.weapon.melee.greataxe.stats_desc,This weapon is incredibly heavy.,这件武器非常沉重。
items.weapon.melee.greataxe.ability_name,retribution,报复
items.weapon.melee.greataxe.typical_ability_desc,"The Duelist can perform a _retribution_ attack with a greataxe if she is below 50%% health. This devastating attack typically deals _%1$d-%2$d damage,_ is guaranteed to hit, and is instantaneous if it kills an enemy.",决斗家在血量低于50%%时可以使用巨斧进行_报复_攻击。这种毁灭性的攻击必定命中，且一般造成_%1$d~%2$d点伤害_，若是击杀了一名敌人，这一击将不消耗时间。
items.weapon.melee.greataxe.ability_desc,"The Duelist can perform a _retribution_ attack with a greataxe if she is below 50%% health. This devastating attack deals _%1$d-%2$d damage,_ is guaranteed to hit, and is instantaneous if it kills an enemy.",决斗家在血量低于50%%时可以使用巨斧进行_报复_攻击。这种毁灭性的攻击必定命中，且造成_%1$d~%2$d点伤害_，若是击杀了一名敌人，这一击将不消耗时间。
items.weapon.melee.greataxe.desc,"Meant to be wielded over the shoulder, this titanic axe is as powerful as it is heavy.",这个巨型的战斧无坚不摧，重如泰山，举过肩才有空间挥舞。
items.weapon.melee.greatshield.name,greatshield,巨型方盾
items.weapon.melee.greatshield.typical_stats_desc,Typically this weapon blocks 0-%d damage. This blocking scales with upgrades.,这件武器通常能格挡0~%d点伤害。格挡量随升级而增长。
items.weapon.melee.greatshield.stats_desc,This weapon blocks 0-%d damage. This blocking scales with upgrades.,这件武器能格挡0~%d点伤害。格挡量随升级而增长。
items.weapon.melee.greatshield.ability_name,guard,护卫
items.weapon.melee.greatshield.typical_ability_desc,"The Duelist can _guard_ herself with a greatshield, completely negating all physical or magical attacks made against her typically for _%d turns_. Once the Duelist has blocked an attack, attacking back or using magic will end guarding.",决斗家可以用巨型方盾_护卫_自己，一般会在_%d回合_内完全抵挡针对自己的物理或魔法攻击。一旦决斗家抵挡过攻击，再行反击或施法，护卫都会终止。
items.weapon.melee.greatshield.ability_desc,"The Duelist can _guard_ herself with a greatshield, completely negating all physical or magical attacks made against her for _%d turns_. Once the Duelist has blocked an attack, attacking back or using magic will end guarding.",决斗家可以用巨型方盾_护卫_自己，在_%d回合_内完全抵挡针对自己的物理或魔法攻击。一旦决斗家抵挡过攻击，再行还击或施法，护卫都会终止。
items.weapon.melee.greatshield.upgrade_ability_stat_name,Ability Duration,武技持续时间
items.weapon.melee.greatshield.desc,"More like a mobile wall than a shield, this gigantic mass of metal aids defense, but doesn't leave much room for attacking.",与其说它是一面盾，不如说它是一堵能移动的墙。这一大块金属对于防御十分有效，但没有在攻击方面留下多少余地。
items.weapon.melee.greatsword.name,greatsword,巨剑
items.weapon.melee.greatsword.ability_name,cleave,顺劈
items.weapon.melee.greatsword.typical_ability_desc,The Duelist can _cleave_ an enemy with a greatsword. This typically deals _%1$d-%2$d damage_ and is guaranteed to hit. If cleave kills an enemy it is instantaneous and the Duelist can use cleave again within 5 turns for free.,决斗家可以用巨剑_顺劈_敌人。这一般会造成_%1$d~%2$d点伤害_且必定命中。如果顺劈击杀了一名敌人，这一击将不消耗时间，并且决斗家可在5回合内额外使用一次不消耗充能数的顺劈。
items.weapon.melee.greatsword.ability_desc,The Duelist can _cleave_ an enemy with a greatsword. This deals _%1$d-%2$d damage_ and is guaranteed to hit. If cleave kills an enemy it is instantaneous and the Duelist can use cleave again within 5 turns for free.,决斗家可以用巨剑_顺劈_敌人，造成_%1$d~%2$d点伤害_且必定命中。如果顺劈击杀了一名敌人，这一击将不消耗时间，并且决斗家可在5回合内额外使用一次不消耗充能数的顺劈。
items.weapon.melee.greatsword.desc,This towering blade inflicts heavy damage by investing its heft into every swing.,这把大剑进行的每次沉重挥舞都能造成大量伤害。
items.weapon.melee.handaxe.name,hand axe,手斧
items.weapon.melee.handaxe.stats_desc,This is a rather accurate weapon.,这是一件比较精准的武器。
items.weapon.melee.handaxe.ability_name,heavy blow,重击
items.weapon.melee.handaxe.typical_ability_desc,"The Duelist can perform a _heavy blow_ with a hand axe. This concentrated attack typically deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用手斧使出_重击_。这用尽全力的一击如果是在伏击敌人，则一般会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.handaxe.ability_desc,"The Duelist can perform a _heavy blow_ with a hand axe. This concentrated attack deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用手斧使出_重击_。这用尽全力的一击如果是在伏击敌人，则会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.handaxe.desc,"A light axe, most commonly used for felling trees. The wide blade works well against foes as well.",一把轻斧头，通常用来砍树。当然，它的宽刃对敌人来说同样有效。
items.weapon.melee.katana.name,katana,武士刀
items.weapon.melee.katana.stats_desc,This weapon blocks 0-3 damage.,这件武器可以格挡0~3点伤害。
items.weapon.melee.katana.ability_name,lunge,弓步刺
items.weapon.melee.katana.typical_ability_desc,"The Duelist can _lunge_ with a katana at an enemy 1 tile away. This moves toward the enemy, typically deals _%1$d-%2$d damage_, and is guaranteed to hit.",决斗家可用武士刀对相距1格的敌人使出_弓步刺_。这一击会向敌人突进，一般造成_%1$d~%2$d点伤害_，且必定命中。
items.weapon.melee.katana.ability_desc,"The Duelist can _lunge_ with a katana at an enemy 1 tile away. This moves toward the enemy, deals _%1$d-%2$d damage_, and is guaranteed to hit.",决斗家可用武士刀对相距1格的敌人使出_弓步刺_。这一击会向敌人突进，造成_%1$d~%2$d点伤害_，且必定命中。
items.weapon.melee.katana.desc,A slender sword with a large metal guard above the handle.,一把在握柄上方带有巨大金属护手的修长刀刃。
items.weapon.melee.longsword.name,longsword,长剑
items.weapon.melee.longsword.ability_name,cleave,顺劈
items.weapon.melee.longsword.typical_ability_desc,The Duelist can _cleave_ an enemy with a longsword. This typically deals _%1$d-%2$d damage_ and is guaranteed to hit. If cleave kills an enemy it is instantaneous and the Duelist can use cleave again within 5 turns for free.,决斗家可以用长剑_顺劈_敌人。这一般会造成_%1$d~%2$d点伤害_且必定命中。如果顺劈击杀了一名敌人，这一击将不消耗时间，并且决斗家可在5回合内额外使用一次不消耗充能数的顺劈。
items.weapon.melee.longsword.ability_desc,The Duelist can _cleave_ an enemy with a longsword. This deals _%1$d-%2$d damage_ and is guaranteed to hit. If cleave kills an enemy it is instantaneous and the Duelist can use cleave again within 5 turns for free.,决斗家可以用巨剑_顺劈_敌人。造成_%1$d~%2$d点伤害_且必定命中。如果顺劈击杀了一名敌人，这一击将不消耗时间，并且决斗家可在5回合内额外使用一次不消耗充能数的顺劈。
items.weapon.melee.longsword.desc,"This sword's long razor-sharp steel blade shines reassuringly, though its size does make it quite heavy.",这柄剑的厚长利刃闪烁着令人宽心的寒光，不过这长度也确实让它非常沉重。
items.weapon.melee.mace.name,mace,硬头锤
items.weapon.melee.mace.stats_desc,This is a rather accurate weapon.,这是一件比较精准的武器。
items.weapon.melee.mace.ability_name,heavy blow,重击
items.weapon.melee.mace.typical_ability_desc,"The Duelist can perform a _heavy blow_ with a mace. This concentrated attack typically deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用硬头锤使出_重击_。这用尽全力的一击如果是在伏击敌人，则一般会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.mace.ability_desc,"The Duelist can perform a _heavy blow_ with a mace. This concentrated attack deals _%1$d-%2$d damage_ if it surprised the enemy, and dazes them for 5 turns which reduces accuracy and evasion by 50%%. Heavy blow always hits but deals regular damage if it does not surprise the enemy.",决斗家可以用硬头锤使出_重击_。这用尽全力的一击如果是在伏击敌人，则会造成_%1$d~%2$d点伤害_并施加5回合的恍惚，使其精准与闪避均降低50%%。重击必定命中，但若非伏击则只会造成普通的伤害。
items.weapon.melee.mace.desc,The large iron head of this weapon inflicts substantial damage.,这把武器前端的大型铁头能够造成可观的伤害。
items.weapon.melee.magesstaff.name,mage's staff,法师魔杖
items.weapon.melee.magesstaff.ac_imbue,IMBUE,灌注
items.weapon.melee.magesstaff.ac_zap,ZAP,释放
items.weapon.melee.magesstaff.prompt,Select a wand,选择一根要吸收的法杖
items.weapon.melee.magesstaff.imbue,You imbue your staff with the %s.,你将%s注入魔杖。
items.weapon.melee.magesstaff.preserved,The previous wand was preserved!,你保留了之前灌注的法杖！
items.weapon.melee.magesstaff.conflict,The conflicting magics erase the enchantment on your staff.,相互冲突的魔法抹去了你魔杖上的附魔。
items.weapon.melee.magesstaff.id_first,You'll need to identify this wand first.,你需要先鉴定这根法杖。
items.weapon.melee.magesstaff.cursed,You can't use a cursed wand.,你不能注入一根被诅咒的法杖。
items.weapon.melee.magesstaff.imbue_desc,"Are you sure you want to imbue your staff with this wand?\n\nIf the wand being imbued is the same or higher level than the staff, the staff will inherit the level of that wand plus a single one of its own upgrades.\n\nThis imbue will result in a _level %d_ staff.","你确定要将这根法杖注入魔杖？\n\n如果被吸收法杖的等级大于等于魔杖的等级，魔杖会在继承这根法杖的等级后再加上自身的一级。\n\n在这次灌注后，魔杖会变为_%d_级。"
items.weapon.melee.magesstaff.imbue_lost,The wand currently imbued in your staff _will be lost_.,当前魔杖内被灌注的法杖_将会消失_。
items.weapon.melee.magesstaff.imbue_talent,The wand currently imbued in your staff _will be returned at +0_.,当前魔杖内被灌注的法杖_将被回收为0级法杖_。
items.weapon.melee.magesstaff.yes,"Yes, I'm sure",是的，我确定
items.weapon.melee.magesstaff.no,"No, I changed my mind",不，我改主意了
items.weapon.melee.magesstaff.desc,"Crafted by the Mage himself, this staff is a unique magical weapon which can be imbued with a wand.",这根魔杖是件独一无二的魔法武器，由法师亲自雕琢而成，能注入其它法杖的魔力以获取新的力量。
items.weapon.melee.magesstaff.no_wand,"The staff currently has no magic in it, it must be _imbued with a wand's power_ before it can be used to cast spells.",这根魔杖并没有任何魔力，它必须先被_注入进另一根法杖的魔力_才能用于施放法术。
items.weapon.melee.magesstaff.has_wand,The staff is currently imbued with a _%s._,魔杖目前被灌注了_%s_的力量。
items.weapon.melee.magesstaff.cursed_wand,"The staff is cursed, making its magic chaotic and random.",这根魔杖受到了诅咒，导致它的魔法混乱而随机。
items.weapon.melee.meleeweapon.ac_ability,ABILITY,武技
items.weapon.melee.meleeweapon.stats_known,This _tier-%1$d_ melee weapon deals _%2$d-%3$d damage_ and requires _%4$d strength_ to use properly.,这件_%1$d阶_近战武器可以造成_%2$d~%3$d点伤害_，并且需要_%4$d点力量_来正常使用。
items.weapon.melee.meleeweapon.stats_unknown,Typically this _tier-%1$d_ melee weapon deals _%2$d-%3$d damage_ and requires _%4$d strength_ to use properly.,一般情况下这件_%1$d阶_近战武器可以造成_%2$d~%3$d点伤害_，并且需要_%4$d点力量_来正常使用。
items.weapon.melee.meleeweapon.probably_too_heavy,Probably this weapon is too heavy for you.,这件武器对你来说或许太重了。
items.weapon.melee.meleeweapon.stats_desc,
items.weapon.melee.meleeweapon.ability_need_equip,You must equip that weapon to use its ability.,你必须装备那把武器才能使用它的武技。
items.weapon.melee.meleeweapon.ability_low_str,You aren't strong enough to use this weapon's ability.,你的力量不足以使用这把武器的武技。
items.weapon.melee.meleeweapon.ability_no_charge,You don't have enough energy to use that ability.,你没有足够的能量来发动那个武技。
items.weapon.melee.meleeweapon.ability_cant_use,You can't use that ability right now.,你现在不能使用那个武技。
items.weapon.melee.meleeweapon.ability_no_target,There is no target there.,那里没有任何目标。
items.weapon.melee.meleeweapon.ability_target_range,That target isn't in range.,那个目标不在范围内。
items.weapon.melee.meleeweapon.ability_occupied,That location is occupied.,那个位置已被占据。
items.weapon.melee.meleeweapon.upgrade_ability_stat_name,Ability Damage,武技伤害
items.weapon.melee.meleeweapon.prompt,Select a Target,选择一个目标
items.weapon.melee.meleeweapon.swap,Swap Weapons,切换武器
items.weapon.melee.meleeweapon.swap_full,You can't do that with a full inventory.,你无法在背包已满的情况下这么做。
items.weapon.melee.shortsword.name,shortsword,短剑
items.weapon.melee.shortsword.ability_name,cleave,顺劈
items.weapon.melee.shortsword.typical_ability_desc,The Duelist can _cleave_ an enemy with a shortsword. This typically deals _%1$d-%2$d damage_ and is guaranteed to hit. If cleave kills an enemy it is instantaneous and the Duelist can use cleave again within 5 turns for free.,决斗家可以用短剑_顺劈_敌人。这一般会造成_%1$d~%2$d点伤害_且必定命中。如果顺劈击杀了一名敌人，这一击将不消耗时间，并且决斗家可在5回合内额外使用一次不消耗充能数的顺劈。
items.weapon.melee.shortsword.ability_desc,The Duelist can _cleave_ an enemy with a shortsword. This deals _%1$d-%2$d damage_ and is guaranteed to hit. If cleave kills an enemy it is instantaneous and the Duelist can use cleave again within 5 turns for free.,决斗家可以用短剑_顺劈_敌人，造成_%1$d~%2$d点伤害_且必定命中。如果顺劈击杀了一名敌人，这一击将不消耗时间，并且决斗家可在5回合内额外使用一次不消耗充能数的顺劈。
items.weapon.melee.shortsword.desc,"A quite short sword, only a few inches longer than a dagger.",它确实相当短，只比一把匕首长出几厘米。
items.weapon.melee.quarterstaff.name,quarterstaff,铁头棍
items.weapon.melee.quarterstaff.stats_desc,This weapon blocks 0-2 damage.,这件武器可以格挡0~2点伤害。
items.weapon.melee.quarterstaff.ability_name,defensive stance,防御架势
items.weapon.melee.quarterstaff.typical_ability_desc,The Duelist can assume a _defensive stance_ with a quarterstaff. This stance takes no time to activate and triples her evasion typically for _%d turns._,决斗家可通过铁头棍进入_防御架势_。进入这一架势不消耗时间，且一般将在_%d回合_内使她的闪避变为3倍。
